Data Set Size,Insertion Sort Time,Selection Sort Time,Bubble Sort Time,Quick Sort Time,Merge Sort Time
2,0.0003,0.0002,0.0002,0.0005,0.0009
4,0.0003,0.0004,0.0003,0.0005,0.0013
8,0.0005,0.0007,0.001,0.001,0.0025
16,0.0012,0.002,0.004,0.0024,0.0131
32,0.0037,0.0061,0.0145,0.0043,0.0017
64,0.0156,0.0212,0.0685,0.0025,0.0033
128,0.0542,0.056,0.0851,0.0045,0.007
256,0.0523,0.0667,0.1265,0.0104,0.0161
512,0.0755,0.0819,0.5212,0.0215,0.0273
1024,0.1953,0.2035,2.431,0.0282,0.0624
2048,0.196,0.7156,2.7732,0.0647,0.1273
4096,0.7548,2.7428,10.9409,0.1393,0.2896
8192,3.0031,10.5941,45.4111,0.2941,0.5893
16384,11.9746,41.9272,173.5664,0.59,1.3455
32768,47.2175,165.6675,709.5775,1.2022,2.548
65536,194.8131,661.944,2905.6668,2.4881,5.7258
